----------mesures----------
2784
temps,X,Y
0.000000,60.046999,202.519130
0.041667,60.118175,202.612324
0.083333,64.484884,204.562537
0.125000,73.739008,207.947358
0.166667,86.292979,212.198888
0.208333,102.887247,217.272804
0.250000,123.917477,223.504213
0.291667,146.939231,229.954870
0.333333,173.319828,235.173155
0.375000,202.327219,239.657189
0.416667,231.959048,242.795699
0.458333,262.997291,244.156433
0.500000,295.864865,244.464040
0.541667,327.873162,242.637178
0.583333,357.964620,238.663547
0.625000,387.487622,234.042017
0.666667,414.847273,227.931591
0.708333,439.303373,221.406125
0.750000,461.842048,214.221833
0.791667,480.952340,207.544964
0.833333,496.158938,201.441400
0.875000,508.583351,196.188245
0.916667,517.054519,192.391269
0.958333,521.743216,190.214054
1.000000,522.581811,190.054407
1.041667,518.473642,191.639715
1.083333,510.600237,194.929430
1.125000,498.748784,199.947655
1.166667,482.526306,205.739080
1.208333,462.325391,212.767188
1.250000,438.823494,219.959588
1.291667,411.844708,226.618398
1.333333,381.983639,232.830407
1.375000,350.211439,237.717019
1.416667,317.317310,240.851949
1.458333,284.062681,242.406909
1.500000,251.852649,242.074942
1.541667,220.218949,240.260492
1.583333,191.130490,236.749527
1.625000,164.124334,232.536362
1.666667,139.588980,227.622335
1.708333,118.847005,222.614068
1.750000,101.920737,217.616101
1.791667,88.191455,213.502543
1.833333,78.417448,210.427436
1.875000,72.775358,208.443033
1.916667,71.399796,207.804689
1.958333,73.424119,208.605622
2.000000,80.013098,210.632640
2.041667,90.073022,214.144150
2.083333,103.839405,218.567148
2.125000,121.504054,223.596976
2.166667,142.002928,228.906081
2.208333,165.344327,234.204336
2.250000,191.473901,238.729853
2.291667,219.212477,242.247238
2.333333,248.705623,244.523467
2.375000,278.804012,245.207517
2.416667,309.640826,244.260321
2.458333,340.176471,241.371396
2.500000,368.983671,237.370975
2.541667,396.490240,232.091990
2.583333,422.085588,226.166741
2.625000,445.022343,219.422777
2.666667,465.020721,213.034967
2.708333,482.210914,207.065950
2.750000,495.953402,201.469072
2.791667,506.167450,197.150072
2.833333,512.757674,194.478796
2.875000,515.121056,193.247668
2.916667,513.514241,193.849342
2.958333,507.825900,196.139280
3.000000,497.879649,200.077118
3.041667,484.222698,205.243527
3.083333,466.083091,211.431373
3.125000,444.966363,217.790859
3.166667,420.061979,224.622368
3.208333,392.916346,230.654649
3.250000,362.957334,235.827712
3.291667,332.118916,240.006778
3.333333,300.475822,242.326774
3.375000,269.323517,243.011017
3.416667,239.090733,242.183401
3.458333,210.035133,240.133810
3.500000,183.591846,236.992843
3.541667,159.996937,232.832203
3.583333,138.720760,228.240397
3.625000,120.817413,223.769653
3.666667,106.268761,219.869519
3.708333,95.711232,216.685457
3.750000,88.632861,214.291337
3.791667,85.496361,212.974839
3.833333,86.017988,213.225894
3.875000,90.025258,214.606609
3.916667,98.664519,217.005369
3.958333,109.856435,220.517137
4.000000,124.496677,224.844262
4.041667,142.469663,229.619326
4.083333,163.563686,234.268237
4.125000,187.189108,238.704044
4.166667,212.752454,242.074568
4.208333,240.758188,244.573287
4.250000,269.601930,245.454096
4.291667,298.800094,245.186532
4.333333,327.915935,243.197460
4.375000,356.683710,239.774661
4.416667,383.438506,235.049195
4.458333,409.659176,229.415290
4.500000,432.947368,223.189345
4.541667,454.064392,216.823667
4.583333,472.190171,210.576296
4.625000,487.568571,204.997347
4.666667,498.957460,200.251847
4.708333,507.274867,196.843188
4.750000,511.419380,194.733527
4.791667,511.764299,194.485988
4.833333,507.891732,196.088600
4.875000,499.934097,199.074728
4.916667,488.469754,203.484499
4.958333,472.921569,209.120503
5.000000,453.286622,215.326468
5.041667,430.528068,221.528649
5.083333,405.402513,227.937758
5.125000,377.474774,233.507538
5.166667,348.263391,238.197543
5.208333,317.897362,241.369126
5.250000,287.031217,243.080957
5.291667,257.600506,243.086691
5.333333,229.307479,242.110377
5.375000,202.542528,239.933063
5.416667,178.378814,236.377740
5.458333,157.182252,232.672380
5.500000,138.674338,228.716240
5.541667,123.453209,224.857575
5.583333,111.836959,221.430971
5.625000,103.678785,218.925791
5.666667,98.908209,217.386770
5.708333,97.689707,217.007537
5.750000,99.759283,217.565630
5.791667,105.460606,219.292641
5.833333,114.827988,221.986599
5.875000,127.415014,225.650924
5.916667,143.001351,229.578153
5.958333,161.405362,233.918200
6.000000,182.732880,237.761224
6.041667,206.499079,241.289037
6.083333,232.210331,244.040306
6.125000,259.176335,245.316154
6.166667,286.986725,245.410620
6.208333,314.936637,244.028966
6.250000,342.786382,241.271028
6.291667,369.661461,237.350638
6.333333,395.892144,232.394531
6.375000,419.409603,226.657319
6.416667,440.950359,220.753063
6.458333,459.862316,214.634820
6.500000,476.133534,208.954016
6.541667,488.950940,203.999802
6.583333,498.247913,200.152009
6.625000,503.929077,197.784936
6.666667,505.782774,196.748245
6.708333,503.523863,197.426539
6.750000,497.606647,199.756853
6.791667,487.527752,203.321700
6.833333,473.580681,208.381505
6.875000,456.145589,213.902310
6.916667,435.257431,220.002287
6.958333,411.966164,226.186968
7.000000,385.913602,231.975484
7.041667,358.049408,236.462543
7.083333,329.119668,240.425308
7.125000,299.784973,242.771067
7.166667,271.148249,243.715035
7.208333,243.358085,243.206596
7.250000,217.302140,241.735033
7.291667,193.058875,239.008068
7.333333,171.757193,235.645597
7.375000,152.812964,231.970973
7.416667,136.933159,228.459612
7.458333,124.144605,225.071647
7.500000,115.228235,222.307659
7.541667,108.810334,220.512809
7.583333,106.285436,219.558084
7.625000,107.016002,219.479833
7.666667,110.859695,220.657081
7.708333,117.796748,222.821138
7.750000,128.524927,225.692984
7.791667,142.016151,229.251820
7.833333,158.493609,233.058099
7.875000,177.869767,236.865814
7.916667,199.416045,240.434235
7.958333,222.732781,242.887101
8.000000,247.618813,244.828525
8.041667,273.576104,245.516365
8.083333,300.467426,244.657403
8.125000,327.474944,242.890828
8.166667,354.023516,239.832475
8.208333,379.398764,235.490174
8.250000,403.299073,230.404008
8.291667,424.797720,224.655405
8.333333,444.317058,218.970081
8.375000,461.298872,213.521436
8.416667,475.073874,208.586787
8.458333,485.678571,204.655091
8.500000,492.531038,201.907368
8.541667,495.643742,200.341208
8.583333,495.135961,200.287196
8.625000,490.591339,201.787443
8.666667,482.217850,204.815666
8.708333,470.259154,208.919750
8.750000,454.563970,214.081851
8.791667,435.407024,219.651698
8.833333,413.680062,225.453180
8.875000,389.544730,231.002391
8.916667,363.200321,235.569218
8.958333,335.965225,239.500310
9.000000,307.983435,242.104215
9.041667,280.201835,243.324515
9.083333,253.430948,243.498577
9.125000,227.836968,242.284204
9.166667,204.049692,240.281442
9.208333,182.713390,237.236229
9.250000,163.591732,234.061006
9.291667,147.497072,230.586036
9.333333,134.018052,227.457990
9.375000,123.975993,224.725376
9.416667,116.905752,222.424558
9.458333,113.161922,221.278470
9.500000,112.712307,220.925396
9.541667,115.162539,221.707114
9.583333,120.594242,223.237517
9.625000,129.610802,225.606861
9.666667,141.441142,228.850940
9.708333,155.991774,232.255934
9.750000,173.277348,235.660342
9.791667,192.952106,239.173068
9.833333,214.815395,242.275620
9.875000,238.510795,243.843416
9.916667,263.173225,245.089639
9.958333,289.003906,244.905790
10.000000,314.762100,243.602136
10.041667,340.920444,240.960444
10.083333,365.867177,237.339825
10.125000,389.589899,232.883013
10.166667,411.658116,227.623633
10.208333,431.465227,222.382396
10.250000,448.860573,217.108959
10.291667,463.406786,212.254890
10.333333,474.598984,208.061169
10.375000,482.748659,204.894061
10.416667,487.196749,203.003213
10.458333,487.909311,202.549526
10.500000,485.249439,203.425448
10.541667,478.159340,205.895567
10.583333,467.908514,209.279313
10.625000,453.937928,213.953732
10.666667,436.684010,219.190585
10.708333,416.511601,224.486079
10.750000,393.894924,229.914675
10.791667,369.331264,234.638294
10.833333,343.447998,238.460068
10.875000,317.122432,241.398008
10.916667,290.220716,243.155687
10.958333,264.482285,243.544771
11.000000,239.700417,242.867560
11.041667,216.241594,241.337341
